How_often_do_you_drink_alcohol_in_one_month,Place_that_you_drink,What_type_of_alcohol_do you_like,Who_do_you_drink_with,What_do_you_like_to_do_when_drinking,Do_you_allergy_with_alcohol
มากกว่า 10 ครั้ง,บ้าน,เหล้า,แฟน,นอน,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,ค็อกเทล,แฟน,อ่านหนังสือ,ไม่แพ้
1-5 ครั้ง,บ้าน,เบียร์,เพื่อน,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,เบียร์,ญาติ,เล่นมือถือ,ไม่แพ้
6-10 ครั้ง,สถานบันเทิง,ไวน์,ดื่มคนเดียว,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,เหล้า,เพื่อน,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,บ้าน,เหล้า,พี่น้อง,พูดคุยกับคนอื่น,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,เหล้า,เพื่อน,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,เหล้า,เพื่อน,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,บ้าน,เบียร์,เพื่อน,ดูทีวี,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,เบียร์,เพื่อน,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,บ้าน,เหล้า,เพื่อน,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,บ้าน,เหล้า,แฟน,นอน,แพ้
1-5 ครั้ง,บ้าน,เบียร์,พี่น้อง,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,สถานที่ท่องเที่ยว,เหล้า,ญาติ,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,บ้าน,เหล้า,เพื่อน,กินกับแกล้ม,ไม่แพ้
1-5 ครั้ง,ร้านอาหาร,เบียร์,เพื่อน,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,เบียร์,เพื่อน,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,เหล้า,เพื่อน,พูดคุยกับคนอื่น,แพ้
มากกว่า 10 ครั้ง,บ้าน,เหล้า,แฟน,ดูทีวี,ไม่แพ้
6-10 ครั้ง,สถานบันเทิง,ไวน์,เพื่อน,กินกับแกล้ม,ไม่แพ้
6-10 ครั้ง,ร้านอาหาร,ไวน์,คนแปลกหน้า,ดูทีวี,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,เบียร์,พี่น้อง,เล่นเกม,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,เบียร์,พี่น้อง,กินกับแกล้ม,ไม่แพ้
มากกว่า 10 ครั้ง,บ้าน,เบียร์,ดื่มคนเดียว,เล่นมือถือ,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,ยาดอง,ดื่มคนเดียว,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,บ้าน,เบียร์,ดื่มคนเดียว,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,บ้าน,เบียร์,ญาติ,ฟังเพลง,แพ้
1-5 ครั้ง,บ้าน,ค็อกเทล,เพื่อน,ฟังเพลง,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,เบียร์,คนแปลกหน้า,เต้น,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,ค็อกเทล,ดื่มคนเดียว,อ่านหนังสือ,แพ้
6-10 ครั้ง,บ้าน,ไวน์,พี่น้อง,ดูทีวี,ไม่แพ้
มากกว่า 10 ครั้ง,บ้าน,เหล้า,ดื่มคนเดียว,พูดคุยกับคนอื่น,ไม่แพ้
มากกว่า 10 ครั้ง,บ้าน,ยาดอง,ดื่มคนเดียว,กินกับแกล้ม,ไม่แพ้
1-5 ครั้ง,บ้าน,เหล้า,คนแปลกหน้า,เล่นเกม,แพ้
1-5 ครั้ง,ร้านอาหาร,เบียร์,เพื่อน,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,สถานที่ท่องเที่ยว,ไวน์,ญาติ,เล่นมือถือ,แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,เหล้า,เพื่อน,เล่นเกม,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,เบียร์,คนแปลกหน้า,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,บ้าน,ไวน์,ดื่มคนเดียว,พูดคุยกับคนอื่น,ไม่แพ้
6-10 ครั้ง,บ้าน,เบียร์,ดื่มคนเดียว,ทำงาน,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,เหล้า,แฟน,พูดคุยกับคนอื่น,แพ้
มากกว่า 10 ครั้ง,สถานที่ท่องเที่ยว,ยาดอง,แฟน,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,สถานที่ท่องเที่ยว,ไวน์,ญาติ,ฟังเพลง,แพ้
6-10 ครั้ง,สถานที่ท่องเที่ยว,เหล้า,คนแปลกหน้า,กินกับแกล้ม,ไม่แพ้
6-10 ครั้ง,ร้านอาหาร,เบียร์,ญาติ,ฟังเพลง,ไม่แพ้
มากกว่า 10 ครั้ง,สถานที่ท่องเที่ยว,เหล้า,พี่น้อง,พูดคุยกับคนอื่น,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,ค็อกเทล,พี่น้อง,กินกับแกล้ม,ไม่แพ้
1-5 ครั้ง,สถานที่ท่องเที่ยว,ไวน์,พี่น้อง,อ่านหนังสือ,ไม่แพ้
มากกว่า 10 ครั้ง,บ้าน,ไวน์,แฟน,เล่นมือถือ,ไม่แพ้
มากกว่า 10 ครั้ง,ร้านอาหาร,เหล้า,เพื่อน,พูดคุยกับคนอื่น,ไม่แพ้
6-10 ครั้ง,สถานบันเทิง,เหล้า,ดื่มคนเดียว,เต้น,ไม่แพ้
6-10 ครั้ง,บ้าน,ค็อกเทล,แฟน,เต้น,ไม่แพ้
1-5 ครั้ง,สถานบันเทิง,ไวน์,ญาติ,ฟังเพลง,แพ้
1-5 ครั้ง,สถานที่ท่องเที่ยว,ค็อกเทล,พี่น้อง,อ่านหนังสือ,แพ้
6-10 ครั้ง,สถานบันเทิง,เหล้า,เพื่อน,กินกับแกล้ม,ไม่แพ้
6-10 ครั้ง,สถานที่ท่องเที่ยว,เหล้า,เพื่อน,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,ร้านอาหาร,เบียร์,ญาติ,ฟังเพลง,แพ้
1-5 ครั้ง,สถานบันเทิง,ไวน์,ญาติ,เล่นมือถือ,ไม่แพ้
1-5 ครั้ง,บ้าน,ยาดอง,ดื่มคนเดียว,อ่านหนังสือ,ไม่แพ้
1-5 ครั้ง,บ้าน,เหล้า,ญาติ,อ่านหนังสือ,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,ค็อกเทล,ญาติ,อ่านหนังสือ,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,เบียร์,เพื่อน,เต้น,ไม่แพ้
6-10 ครั้ง,สถานที่ท่องเที่ยว,ไวน์,คนแปลกหน้า,ดูทีวี,ไม่แพ้
1-5 ครั้ง,บ้าน,ไวน์,พี่น้อง,พูดคุยกับคนอื่น,แพ้
1-5 ครั้ง,บ้าน,เบียร์,เพื่อน,ฟังเพลง,ไม่แพ้
1-5 ครั้ง,ร้านอาหาร,ไวน์,เพื่อน,ดูทีวี,ไม่แพ้
1-5 ครั้ง,บ้าน,เบียร์,พี่น้อง,กินกับแกล้ม,ไม่แพ้
1-5 ครั้ง,บ้าน,เหล้า,ญาติ,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,บ้าน,เหล้า,ดื่มคนเดียว,เล่นมือถือ,ไม่แพ้
6-10 ครั้ง,ร้านอาหาร,เบียร์,คนแปลกหน้า,อ่านหนังสือ,ไม่แพ้
มากกว่า 10 ครั้ง,บ้าน,เหล้า,เพื่อน,ฟังเพลง,ไม่แพ้
มากกว่า 10 ครั้ง,บ้าน,เหล้า,เพื่อน,ฟังเพลง,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,เบียร์,คนแปลกหน้า,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,สถานที่ท่องเที่ยว,เหล้า,แฟน,ฟังเพลง,ไม่แพ้
มากกว่า 10 ครั้ง,สถานที่ท่องเที่ยว,เบียร์,ดื่มคนเดียว,พูดคุยกับคนอื่น,ไม่แพ้
มากกว่า 10 ครั้ง,บ้าน,เหล้า,ดื่มคนเดียว,เล่นเกม,ไม่แพ้
1-5 ครั้ง,สถานที่ท่องเที่ยว,ค็อกเทล,เพื่อน,พูดคุยกับคนอื่น,ไม่แพ้
มากกว่า 10 ครั้ง,สถานที่ท่องเที่ยว,เบียร์,ดื่มคนเดียว,กินกับแกล้ม,ไม่แพ้
6-10 ครั้ง,ร้านอาหาร,เหล้า,แฟน,นอน,ไม่แพ้
มากกว่า 10 ครั้ง,สถานบันเทิง,เบียร์,เพื่อน,พูดคุยกับคนอื่น,ไม่แพ้
1-5 ครั้ง,บ้าน,เบียร์,ดื่มคนเดียว,พูดคุยกับคนอื่น,ไม่แพ้
มากกว่า 10 ครั้ง,สถานที่ท่องเที่ยว,เหล้า,เพื่อน,เต้น,ไม่แพ้
มากกว่า 10 ครั้ง,บ้าน,ไวน์,ดื่มคนเดียว,ทำงาน,ไม่แพ้
1-5 ครั้ง,บ้าน,ค็อกเทล,ดื่มคนเดียว,พูดคุยกับคนอื่น,แพ้
